GPCODE,GPNAME,BLOCK,DISTRICT,ELEVATION,SLOPE,LANDCOVER,LANDCOVER_VALID,HAS_STATIC_MISMATCH,MISMATCHED_FIELDS_NEEDS_MANUAL_REVIEW,MISSING_STATIC_FIELDS
111722,BAGDAHA,Baghmara,Dhanbad,249,3.5588596,12,True,False,,
111723,BAGRA,Baghmara,Dhanbad,162,4.045642,12,True,False,,
111724,BAHIYARDIH,Baghmara,Dhanbad,193,1.3737063,13,True,False,,
111725,BANSJORA,Baghmara,Dhanbad,223,1.8543341,12,True,False,,
111726,BARORA,Baghmara,Dhanbad,199,7.967115,13,True,False,,
111727,BEHRAKUDAR,Baghmara,Dhanbad,217,2.9587758,12,True,False,,
111728,BHIMKANALI,Baghmara,Dhanbad,234,1.8543341,12,True,False,,
111729,BOWAKALA NORTH,Baghmara,Dhanbad,232,2.7460077,12,True,False,,
111730,BOWAKALA SOUTH,Baghmara,Dhanbad,218,7.0597444,13,True,False,,
111731,CHHATRUTAND,Baghmara,Dhanbad,198,4.219652,12,True,False,,
111732,DALUDIH,Baghmara,Dhanbad,261,4.7362785,12,True,False,,
111733,DARIDA,Baghmara,Dhanbad,221,0.92740995,12,True,False,,
111734,DHARMABANDH,Baghmara,Dhanbad,195,1.3735292,12,True,False,,
111735,DHAWACHITA,Baghmara,Dhanbad,220,2.11314,12,True,False,,
111736,DUMRA NORTH,Baghmara,Dhanbad,223,3.5575247,10,True,False,,
111738,FULARITAND,Baghmara,Dhanbad,218,4.449252,10,True,False,,
111739,GOBINDADIH,Baghmara,Dhanbad,271,2.1131525,12,True,False,,
111740,HARINA,Baghmara,Dhanbad,220,1.3737687,12,True,False,,
111741,HATHUDIH,Baghmara,Dhanbad,205,2.112698,12,True,False,,
111742,JAMUA,Baghmara,Dhanbad,213,2.9587438,13,True,False,,
111743,JAMUATAND,Baghmara,Dhanbad,218,4.7361765,12,True,False,,
111744,JHIJHIPAHARI,Baghmara,Dhanbad,209,3.7047918,12,True,False,,
111745,KANCHANPUR,Baghmara,Dhanbad,185,3.1754224,12,True,False,,
111746,KANDRA,Baghmara,Dhanbad,216,1.8543341,12,True,False,,
111747,KAPURIA,Baghmara,Dhanbad,190,4.448556,12,True,False,,
111748,KESHARGARAH,Baghmara,Dhanbad,201,4.6273675,10,True,False,,
111749,KHANUDIH,Baghmara,Dhanbad,233,2.2284608,12,True,False,,
111750,KHARKHARI,Baghmara,Dhanbad,211,1.3735579,10,True,False,,
111751,KUMARJORI,Baghmara,Dhanbad,191,2.7454972,12,True,False,,
111752,LOHOPITTI,Baghmara,Dhanbad,205,4.6273675,12,True,False,,
111753,LUTIPAHARI,Baghmara,Dhanbad,233,3.1759117,12,True,False,,
111754,MADHUBAN,Baghmara,Dhanbad,210,2.227796,12,True,False,,
111755,MAHESHPUR 2,Baghmara,Dhanbad,237,1.3741436,12,True,False,,
111756,MAHESHPUR 1,Baghmara,Dhanbad,229,2.9588907,12,True,False,,
111757,MAHUDA,Baghmara,Dhanbad,181,4.4478607,12,True,False,,
111758,MALKERA NORTH,Baghmara,Dhanbad,199,5.901695,13,True,False,,
111759,MALKERA SOUTH,Baghmara,Dhanbad,192,2.7456758,10,True,False,,
111760,MANDRA,Baghmara,Dhanbad,222,1.0134516,13,True,False,,
111761,MATIGARAH,Baghmara,Dhanbad,208,4.7856593,13,True,False,,
111762,MOHLIDIH,Baghmara,Dhanbad,223,1.3737704,12,True,False,,
111763,MURAIDHI,Baghmara,Dhanbad,202,2.1129653,12,True,False,,
111764,NADKHURKI,Baghmara,Dhanbad,193,16.941484,13,True,False,,
111766,NAGRIKALA NORTH,Baghmara,Dhanbad,236,1.0137702,12,True,False,,
111767,NICHITPUR-1,Baghmara,Dhanbad,218,4.1526785,12,True,False,,
111768,NICHITPUR-2,Baghmara,Dhanbad,221,2.7802885,12,True,False,,
111769,PADUGORA,Baghmara,Dhanbad,210,2.7452807,12,True,False,,
111770,PATHARGARIA,Baghmara,Dhanbad,193,3.1744516,12,True,False,,
111771,PHATAMAHUL,Baghmara,Dhanbad,228,2.2288706,12,True,False,,
111772,RAGHUNATHPUR,Baghmara,Dhanbad,222,4.220385,12,True,False,,
111773,RAJGANJ,Baghmara,Dhanbad,239,2.0277221,12,True,False,,
