system:index,ELEVATION_M,GPCODE,GPNAME,.geo
0_0,249,111722,BAGDAHA,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,162,111723,BAGRA,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,193,111724,BAHIYARDIH,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0,223,111725,BANSJORA,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0,199,111726,BARORA,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0,217,111727,BEHRAKUDAR,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0,234,111728,BHIMKANALI,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0,232,111729,BOWAKALA NORTH,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0,218,111730,BOWAKALA SOUTH,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0,198,111731,CHHATRUTAND,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0,261,111732,DALUDIH,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0,221,111733,DARIDA,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0,195,111734,DHARMABANDH,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0,220,111735,DHAWACHITA,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0,223,111736,DUMRA NORTH,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0,218,111738,FULARITAND,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0,271,111739,GOBINDADIH,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0,220,111740,HARINA,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0,205,111741,HATHUDIH,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_0,213,111742,JAMUA,"{""type"":""MultiPoint"",""coordinates"":[]}"
20_0,218,111743,JAMUATAND,"{""type"":""MultiPoint"",""coordinates"":[]}"
21_0,209,111744,JHIJHIPAHARI,"{""type"":""MultiPoint"",""coordinates"":[]}"
22_0,185,111745,KANCHANPUR,"{""type"":""MultiPoint"",""coordinates"":[]}"
23_0,216,111746,KANDRA,"{""type"":""MultiPoint"",""coordinates"":[]}"
24_0,190,111747,KAPURIA,"{""type"":""MultiPoint"",""coordinates"":[]}"
25_0,201,111748,KESHARGARAH,"{""type"":""MultiPoint"",""coordinates"":[]}"
26_0,233,111749,KHANUDIH,"{""type"":""MultiPoint"",""coordinates"":[]}"
27_0,211,111750,KHARKHARI,"{""type"":""MultiPoint"",""coordinates"":[]}"
28_0,191,111751,KUMARJORI,"{""type"":""MultiPoint"",""coordinates"":[]}"
29_0,205,111752,LOHOPITTI,"{""type"":""MultiPoint"",""coordinates"":[]}"
30_0,233,111753,LUTIPAHARI,"{""type"":""MultiPoint"",""coordinates"":[]}"
31_0,210,111754,MADHUBAN,"{""type"":""MultiPoint"",""coordinates"":[]}"
32_0,237,111755,MAHESHPUR 2,"{""type"":""MultiPoint"",""coordinates"":[]}"
33_0,229,111756,MAHESHPUR 1,"{""type"":""MultiPoint"",""coordinates"":[]}"
34_0,181,111757,MAHUDA,"{""type"":""MultiPoint"",""coordinates"":[]}"
