system:index,GPCODE,GPNAME,LANDCOVER_CLASS,LANDCOVER_NAME,.geo
0,111722,BAGDAHA,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,111723,BAGRA,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,111724,BAHIYARDIH,13,Urban and Built-up Lands,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,111725,BANSJORA,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,111726,BARORA,13,Urban and Built-up Lands,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,111727,BEHRAKUDAR,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,111728,BHIMKANALI,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,111729,BOWAKALA NORTH,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,111730,BOWAKALA SOUTH,13,Urban and Built-up Lands,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,111731,CHHATRUTAND,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,111732,DALUDIH,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,111733,DARIDA,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,111734,DHARMABANDH,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,111735,DHAWACHITA,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,111736,DUMRA NORTH,10,Grasslands,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,111738,FULARITAND,10,Grasslands,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,111739,GOBINDADIH,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,111740,HARINA,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,111741,HATHUDIH,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,111742,JAMUA,13,Urban and Built-up Lands,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,111743,JAMUATAND,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,111744,JHIJHIPAHARI,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,111745,KANCHANPUR,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,111746,KANDRA,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,111747,KAPURIA,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,111748,KESHARGARAH,10,Grasslands,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,111749,KHANUDIH,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,111750,KHARKHARI,10,Grasslands,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,111751,KUMARJORI,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,111752,LOHOPITTI,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,111753,LUTIPAHARI,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,111754,MADHUBAN,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,111755,MAHESHPUR 2,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,111756,MAHESHPUR 1,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,111757,MAHUDA,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,111758,MALKERA NORTH,13,Urban and Built-up Lands,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,111759,MALKERA SOUTH,10,Grasslands,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,111760,MANDRA,13,Urban and Built-up Lands,"{""type"":""MultiPoint"",""coordinates"":[]}"
