system:index,GPCODE,GPNAME,SLOPE_DEG,.geo
0_0,111722,BAGDAHA,3.5588596,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,111723,BAGRA,4.045642,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,111724,BAHIYARDIH,1.3737063,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0,111725,BANSJORA,1.8543341,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0,111726,BARORA,7.967115,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0,111727,BEHRAKUDAR,2.9587758,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0,111728,BHIMKANALI,1.8543341,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0,111729,BOWAKALA NORTH,2.7460077,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0,111730,BOWAKALA SOUTH,7.0597444,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0,111731,CHHATRUTAND,4.219652,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0,111732,DALUDIH,4.7362785,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0,111733,DARIDA,0.92740995,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0,111734,DHARMABANDH,1.3735292,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0,111735,DHAWACHITA,2.11314,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0,111736,DUMRA NORTH,3.5575247,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0,111738,FULARITAND,4.449252,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0,111739,GOBINDADIH,2.1131525,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0,111740,HARINA,1.3737687,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0,111741,HATHUDIH,2.112698,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_0,111742,JAMUA,2.9587438,"{""type"":""MultiPoint"",""coordinates"":[]}"
20_0,111743,JAMUATAND,4.7361765,"{""type"":""MultiPoint"",""coordinates"":[]}"
21_0,111744,JHIJHIPAHARI,3.7047918,"{""type"":""MultiPoint"",""coordinates"":[]}"
22_0,111745,KANCHANPUR,3.1754224,"{""type"":""MultiPoint"",""coordinates"":[]}"
23_0,111746,KANDRA,1.8543341,"{""type"":""MultiPoint"",""coordinates"":[]}"
24_0,111747,KAPURIA,4.448556,"{""type"":""MultiPoint"",""coordinates"":[]}"
25_0,111748,KESHARGARAH,4.6273675,"{""type"":""MultiPoint"",""coordinates"":[]}"
26_0,111749,KHANUDIH,2.2284608,"{""type"":""MultiPoint"",""coordinates"":[]}"
27_0,111750,KHARKHARI,1.3735579,"{""type"":""MultiPoint"",""coordinates"":[]}"
28_0,111751,KUMARJORI,2.7454972,"{""type"":""MultiPoint"",""coordinates"":[]}"
29_0,111752,LOHOPITTI,4.6273675,"{""type"":""MultiPoint"",""coordinates"":[]}"
30_0,111753,LUTIPAHARI,3.1759117,"{""type"":""MultiPoint"",""coordinates"":[]}"
31_0,111754,MADHUBAN,2.227796,"{""type"":""MultiPoint"",""coordinates"":[]}"
32_0,111755,MAHESHPUR 2,1.3741436,"{""type"":""MultiPoint"",""coordinates"":[]}"
33_0,111756,MAHESHPUR 1,2.9588907,"{""type"":""MultiPoint"",""coordinates"":[]}"
34_0,111757,MAHUDA,4.4478607,"{""type"":""MultiPoint"",""coordinates"":[]}"
35_0,111758,MALKERA NORTH,5.901695,"{""type"":""MultiPoint"",""coordinates"":[]}"
36_0,111759,MALKERA SOUTH,2.7456758,"{""type"":""MultiPoint"",""coordinates"":[]}"
37_0,111760,MANDRA,1.0134516,"{""type"":""MultiPoint"",""coordinates"":[]}"
38_0,111761,MATIGARAH,4.7856593,"{""type"":""MultiPoint"",""coordinates"":[]}"
39_0,111762,MOHLIDIH,1.3737704,"{""type"":""MultiPoint"",""coordinates"":[]}"
40_0,111763,MURAIDHI,2.1129653,"{""type"":""MultiPoint"",""coordinates"":[]}"
41_0,111764,NADKHURKI,16.941484,"{""type"":""MultiPoint"",""coordinates"":[]}"
42_0,111766,NAGRIKALA NORTH,1.0137702,"{""type"":""MultiPoint"",""coordinates"":[]}"
43_0,111767,NICHITPUR-1,4.1526785,"{""type"":""MultiPoint"",""coordinates"":[]}"
44_0,111768,NICHITPUR-2,2.7802885,"{""type"":""MultiPoint"",""coordinates"":[]}"
45_0,111769,PADUGORA,2.7452807,"{""type"":""MultiPoint"",""coordinates"":[]}"
46_0,111770,PATHARGARIA,3.1744516,"{""type"":""MultiPoint"",""coordinates"":[]}"
47_0,111771,PHATAMAHUL,2.2288706,"{""type"":""MultiPoint"",""coordinates"":[]}"
48_0,111772,RAGHUNATHPUR,4.220385,"{""type"":""MultiPoint"",""coordinates"":[]}"
49_0,111773,RAJGANJ,2.0277221,"{""type"":""MultiPoint"",""coordinates"":[]}"
50_0,111774,RANGUNI,4.220321,"{""type"":""MultiPoint"",""coordinates"":[]}"
51_0,111775,SINGRAH,1.0131122,"{""type"":""MultiPoint"",""coordinates"":[]}"
52_0,111776,SINIDIH,2.1128616,"{""type"":""MultiPoint"",""coordinates"":[]}"
53_0,111777,TARGA,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
54_0,111778,TELMOCHO,1.373279,"{""type"":""MultiPoint"",""coordinates"":[]}"
55_0,111779,TETULIA-1,2.1128864,"{""type"":""MultiPoint"",""coordinates"":[]}"
56_0,111780,TETULIA-2,1.3732536,"{""type"":""MultiPoint"",""coordinates"":[]}"
57_0,111781,TUNDU,1.8543341,"{""type"":""MultiPoint"",""coordinates"":[]}"
58_0,111782,ALAKHDIHA,1.37333,"{""type"":""MultiPoint"",""coordinates"":[]}"
59_0,111783,AMJHAR,2.7451186,"{""type"":""MultiPoint"",""coordinates"":[]}"
60_0,111784,AMTAL,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
61_0,111785,BAGHMARA,0.92740995,"{""type"":""MultiPoint"",""coordinates"":[]}"
62_0,111786,BALIAPUR EAST,1.0129654,"{""type"":""MultiPoint"",""coordinates"":[]}"
63_0,111788,BARADAHA,0.92740995,"{""type"":""MultiPoint"",""coordinates"":[]}"
64_0,111789,BHIKHRAJPUR,2.9585423,"{""type"":""MultiPoint"",""coordinates"":[]}"
65_0,111790,BIRSINGHPUR,4.219171,"{""type"":""MultiPoint"",""coordinates"":[]}"
66_0,111791,CHANDKUIYA,3.8400848,"{""type"":""MultiPoint"",""coordinates"":[]}"
67_0,111792,DOLAWAR,2.2273371,"{""type"":""MultiPoint"",""coordinates"":[]}"
68_0,111793,DUDHIYA,3.8399966,"{""type"":""MultiPoint"",""coordinates"":[]}"
69_0,111794,GHARBAR,7.480796,"{""type"":""MultiPoint"",""coordinates"":[]}"
70_0,111795,JAGDISH,2.0260792,"{""type"":""MultiPoint"",""coordinates"":[]}"
71_0,111796,KARMATAND,0.92740995,"{""type"":""MultiPoint"",""coordinates"":[]}"
72_0,111797,KUSMATAND,2.7802885,"{""type"":""MultiPoint"",""coordinates"":[]}"
73_0,111798,MUKUNDA,4.0458393,"{""type"":""MultiPoint"",""coordinates"":[]}"
74_0,111799,PALANI,3.175212,"{""type"":""MultiPoint"",""coordinates"":[]}"
75_0,111800,PRADHANKHANTA,5.0479813,"{""type"":""MultiPoint"",""coordinates"":[]}"
76_0,111801,SINDURPUR,4.046364,"{""type"":""MultiPoint"",""coordinates"":[]}"
77_0,111802,SURUNGA,3.437662,"{""type"":""MultiPoint"",""coordinates"":[]}"
78_0,111803,ARALGARIA,1.373443,"{""type"":""MultiPoint"",""coordinates"":[]}"
79_0,111804,BARDUBHI,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
80_0,111805,DAMODARPUR,2.9587512,"{""type"":""MultiPoint"",""coordinates"":[]}"
81_0,111806,DHOKHRA,3.8401427,"{""type"":""MultiPoint"",""coordinates"":[]}"
82_0,111807,DUBRAJDIH,3.1743898,"{""type"":""MultiPoint"",""coordinates"":[]}"
83_0,111808,GOPINATHDIH,1.373408,"{""type"":""MultiPoint"",""coordinates"":[]}"
84_0,111809,PANDARKANALI,1.0133369,"{""type"":""MultiPoint"",""coordinates"":[]}"
85_0,111810,PANDERKANALI SOUTH,3.840107,"{""type"":""MultiPoint"",""coordinates"":[]}"
86_0,111811,SAMSHIKHARA,5.7606425,"{""type"":""MultiPoint"",""coordinates"":[]}"
87_0,111812,SIYALGUDRI,2.7802885,"{""type"":""MultiPoint"",""coordinates"":[]}"
88_0,111813,AMARPUR,3.8402662,"{""type"":""MultiPoint"",""coordinates"":[]}"
89_0,111814,ASANBANI 1,2.7468846,"{""type"":""MultiPoint"",""coordinates"":[]}"
90_0,111815,ASANBANI 2,6.33607,"{""type"":""MultiPoint"",""coordinates"":[]}"
91_0,111816,BAGSUMA,2.7459948,"{""type"":""MultiPoint"",""coordinates"":[]}"
92_0,111817,BARA NAWATAND,6.136929,"{""type"":""MultiPoint"",""coordinates"":[]}"
93_0,111818,BARA PICHARI,4.2204123,"{""type"":""MultiPoint"",""coordinates"":[]}"
94_0,111819,BARIYO,1.0140808,"{""type"":""MultiPoint"",""coordinates"":[]}"
95_0,111820,BARWA EAST,10.452005,"{""type"":""MultiPoint"",""coordinates"":[]}"
