STATE_CODE,STATE_NAME,DISTRICT_CODE,DISTRICT_NAME,BLOCK_CODE,BLOCK_NAME,LATITUDE,LONGITUDE,ELEVATION_M,SLOPE_DEG,LANDCOVER_CLASS,LANDCOVER_NAME
1,Jammu And Kashmir,1,Anantnag,1,Achabal,33.7299,75.2158,2611.4,16.84,4,Deciduous Broadleaf Forest
1,Jammu And Kashmir,1,Anantnag,2,Breng,33.7783,75.1798,2624.0,16.98,4,Deciduous Broadleaf Forest
1,Jammu And Kashmir,1,Anantnag,3,Dachnipora,33.8685,75.1034,2646.4,17.23,4,Deciduous Broadleaf Forest
1,Jammu And Kashmir,1,Anantnag,6,Khoveripora,33.782,75.0495,2609.6,16.99,4,Deciduous Broadleaf Forest
1,Jammu And Kashmir,1,Anantnag,11,Shahabad,33.6312,75.1618,2570.3,16.57,4,Deciduous Broadleaf Forest
1,Jammu And Kashmir,1,Anantnag,12,Shangus,33.6008,75.2281,2567.7,16.48,4,Deciduous Broadleaf Forest
1,Jammu And Kashmir,1,Anantnag,6712,Qazigund (Partly),33.6777,75.0495,2573.1,16.7,4,Deciduous Broadleaf Forest
1,Jammu And Kashmir,1,Anantnag,6861,Anantnag,33.7657,75.262,2629.4,16.94,4,Deciduous Broadleaf Forest
1,Jammu And Kashmir,1,Anantnag,7020,Bijibehara,33.827,75.2789,2652.9,17.12,4,Deciduous Broadleaf Forest
1,Jammu And Kashmir,1,Anantnag,7021,Chathergul,33.8286,75.1618,2639.4,17.12,4,Deciduous Broadleaf Forest
1,Jammu And Kashmir,1,Anantnag,7022,Hiller Shahabad,33.773,75.1117,2614.0,16.96,4,Deciduous Broadleaf Forest
1,Jammu And Kashmir,1,Anantnag,7031,Quimoh Anantnag District Part,33.6149,75.0464,2550.8,16.52,4,Deciduous Broadleaf Forest
1,Jammu And Kashmir,1,Anantnag,7032,Vessu,33.6941,75.262,2604.4,16.74,4,Deciduous Broadleaf Forest
1,Jammu And Kashmir,1,Anantnag,7033,Verinag,33.6935,75.1989,2596.6,16.74,4,Deciduous Broadleaf Forest
1,Jammu And Kashmir,1,Anantnag,7034,Pahalgam,33.7199,75.087,2592.4,16.82,4,Deciduous Broadleaf Forest
1,Jammu And Kashmir,1,Anantnag,7035,Larnoo,33.7564,74.9805,2592.4,16.92,4,Deciduous Broadleaf Forest
1,Jammu And Kashmir,1,Anantnag,7036,Sagam,33.6779,75.1331,2583.2,16.7,4,Deciduous Broadleaf Forest
1,Jammu And Kashmir,2,Budgam,13,B.K.Pora,34.1384,74.8548,2711.0,17.99,4,Deciduous Broadleaf Forest
1,Jammu And Kashmir,2,Budgam,14,Badgam,34.0413,74.7915,2669.4,17.72,4,Deciduous Broadleaf Forest
1,Jammu And Kashmir,2,Budgam,15,Beerwah,34.0771,74.8378,2687.5,17.82,4,Deciduous Broadleaf Forest
1,Jammu And Kashmir,2,Budgam,16,Chadoora,34.0896,74.7553,2682.0,17.85,4,Deciduous Broadleaf Forest
1,Jammu And Kashmir,2,Budgam,17,Khag,34.1799,74.6786,2704.4,18.1,4,Deciduous Broadleaf Forest
1,Jammu And Kashmir,2,Budgam,18,Khan-Sahib,34.0844,74.6869,2672.0,17.84,4,Deciduous Broadleaf Forest
1,Jammu And Kashmir,2,Budgam,19,Nagam,34.0934,74.6246,2667.6,17.86,4,Deciduous Broadleaf Forest
1,Jammu And Kashmir,2,Budgam,20,Narbal,34.0677,74.5553,2650.3,17.79,4,Deciduous Broadleaf Forest
1,Jammu And Kashmir,2,Budgam,6915,Parnewa,33.9891,74.6246,2631.1,17.57,4,Deciduous Broadleaf Forest
1,Jammu And Kashmir,2,Budgam,6916,Sukhnag Hard Panzoo,33.9122,74.8038,2625.7,17.35,4,Deciduous Broadleaf Forest
1,Jammu And Kashmir,2,Budgam,6917,Waterhail,34.0055,74.8378,2662.5,17.62,4,Deciduous Broadleaf Forest
1,Jammu And Kashmir,2,Budgam,6918,Pakherpora,34.0313,74.6621,2650.4,17.69,4,Deciduous Broadleaf Forest
1,Jammu And Kashmir,2,Budgam,6919,Charisharief,34.1399,74.7373,2697.4,17.99,4,Deciduous Broadleaf Forest
