Model,Dataset,MAE,RMSE,R2,Bias,Correlation,POD_0.1,FAR_0.1,CSI_0.1,POD_5.0,FAR_5.0,CSI_5.0,POD_15.0,FAR_15.0,CSI_15.0
Baseline_A_Coarse_ERA5,Train,3.8276580114966716,7.774918527875323,0.21910445490135722,-0.6171413353911827,0.5611527835661174,0.9238222644528906,0.48320744160022383,0.49566990669001093,0.6352546693167853,0.3303424339842938,0.483682404722572,0.2403349854725688,0.5329790767186982,0.18860484455055124
Baseline_A_Coarse_ERA5,Validation,2.926550495124363,6.811996770656544,0.34839411686398314,-0.03502427303482111,0.6359372212705522,0.8793660407833637,0.5344822979291917,0.4375737787266106,0.6467840686738623,0.3544383544383544,0.47729284084028134,0.40542543729617553,0.5244305338202052,0.2801679983609916
Baseline_A_Coarse_ERA5,Test,3.7499492825845278,10.22243708594845,-0.4249784253513458,0.5044267734262395,0.5940219949098542,0.8959996584553643,0.5301347781310168,0.44556494416372977,0.6634875780054162,0.3788922568200606,0.4723188466535351,0.40901401643305946,0.39358652812611966,0.32321206913014416
Baseline_B_Historical_Climatology,Validation,4.531775835068605,8.633263908909097,-0.04661309427018101,1.1281936493098552,0.34090104286486206,0.8406016555622855,0.6323295655245497,0.34370743385479013,0.7306065770371774,0.5817524841915086,0.36236421125129137,0.20308330862733473,0.8073136427566807,0.10972288963639276
Baseline_B_Historical_Climatology,Test,4.56539153777477,8.469484525974645,0.021832218573794693,0.7002993836981467,0.37538888448358615,0.8256841565982155,0.573030731190392,0.39166447275157457,0.7197103496997528,0.5582655826558266,0.3768960414354421,0.22837119381343643,0.7341772151898734,0.1400414937759336
RandomForest_Direct,Train,1.36356287987097,2.9094050997460053,0.8906523023888592,-0.0023412267471462495,0.9448115843111968,0.9982996599319864,0.49342418301897567,0.5061391109223563,0.9279309350771519,0.12939685974177567,0.8154642061894158,0.7318407109895745,0.12149686102334742,0.6645766078966973
RandomForest_Direct,Validation,3.628445649550018,7.210578235085389,0.269910140174493,0.9793748977350643,0.5882353664745628,0.9498788612961842,0.7031703470031546,0.2922522634447844,0.7836899577100297,0.470736178012703,0.46180168117235737,0.3550252001185888,0.6020933709918591,0.23095467695274832
RandomForest_Direct,Test,4.5301939563684845,8.728987939717259,-0.03902783734635751,0.9922837868441364,0.41154364506160884,0.9829227682192716,0.6427163674172474,0.35507950461913357,0.7590368538796656,0.524629452105302,0.4130386032356239,0.24794586756887385,0.7155925155925156,0.15268993228662847
RandomForest_Residual,Train,1.4442537439280225,2.9447255785592095,0.8879812017779872,0.0026034917489872055,0.9429688282329673,0.9978370674134827,0.6132944419948931,0.38638168086754454,0.896812271465202,0.13229594832648267,0.788937681024012,0.7536147667065459,0.10034277319840039,0.6951819385760232
RandomForest_Residual,Validation,3.714775048454587,7.493586410329057,0.21147481460346962,1.021121175334894,0.558828688329244,0.9720876236624268,0.7349691056463044,0.26302922698716197,0.803761913778956,0.48149354615415935,0.4602428798612115,0.35146753631781796,0.6416263603385731,0.21572195432626695
RandomForest_Residual,Test,4.060234295425458,7.983541995066824,0.13085822524029822,1.1991669454435738,0.586977954752599,0.9730606668659011,0.668961510530138,0.3280321238899843,0.7505592841163311,0.4866312313763389,0.43854700560696225,0.430521991300145,0.5713426371511068,0.27355086372360843
Ridge_Direct,Train,3.9414325193303426,6.798856124541233,0.40286441427886566,0.15157725145305606,0.6352051572060443,0.9688437687537508,0.615496829382052,0.3798068911434593,0.8376094311854223,0.4007229621910314,0.5368980004668171,0.21835583660912664,0.46404899739911065,0.18363709538320014
Ridge_Direct,Validation,3.5336697944618747,6.544485077342949,0.3985672218758819,1.0025056027215211,0.6426518012008945,0.9661316373914799,0.7203448023960844,0.2769402164477111,0.8972416840244903,0.47949469058952765,0.4912226138641233,0.36525348354580495,0.47719074899214936,0.2739299610894942
Ridge_Direct,Test,3.748234945940453,6.669678196880248,0.3933905706159858,0.970089389764106,0.6499686779399124,0.9902659778849848,0.6594329510916646,0.33943074559157094,0.8154951136229837,0.48574398574398575,0.4606584635849684,0.3835186080231996,0.40349558353692916,0.3045188525376571
Ridge_Residual,Train,3.9414462361808686,6.798858558272132,0.40286398677530955,0.15156577855266798,0.6352043366878111,0.9688562712542509,0.615497591060876,0.3798080693224592,0.8376094311854223,0.4007294674453442,0.5368927789934355,0.21835583660912664,0.46404899739911065,0.18363709538320014
Ridge_Residual,Validation,3.533667399665147,6.544439439695186,0.39857560997097374,1.0025112406995094,0.6426581719722081,0.9661316373914799,0.7203366304808381,0.27694823045982003,0.8972416840244903,0.47949469058952765,0.4912226138641233,0.36525348354580495,0.47719074899214936,0.2739299610894942
Ridge_Residual,Test,3.7482926701403443,6.669833209120216,0.3933623734597299,0.9701883974412318,0.6499670682720309,0.9902659778849848,0.6594379514888119,0.33942577850620465,0.815553985635229,0.48568776684611104,0.4607223626446721,0.3835186080231996,0.40349558353692916,0.3045188525376571
XGBoost_Direct,Train,1.6291417262909242,2.950936689023751,0.8875081560749334,0.006949823671451896,0.9454857298313851,0.9962617523504701,0.6064296897766056,0.3929899490052573,0.8918053680074042,0.13848093102336353,0.779993895723025,0.7698171252777303,0.11103655166969291,0.7022888861170014
XGBoost_Direct,Validation,3.5662419092757376,7.229304482129001,0.26611305320673273,1.1385064762155694,0.5932277848064256,0.9635069654754694,0.720250307755437,0.276816659174292,0.8316606703275895,0.4769768180374722,0.4729530851789368,0.42528906018381263,0.5656320968962907,0.2737073077656936
XGBoost_Direct,Test,4.263923756451242,8.140434167821276,0.09636190100327546,1.1354051031390295,0.4881597862748021,0.9751526277590402,0.6530358038006411,0.3439236294099047,0.805898975626987,0.49846120026379426,0.4474845542806708,0.32044465925567905,0.6773722627737226,0.1915631320427622
XGBoost_Residual,Train,1.7402376484693372,3.1103482657656665,0.8750261091572141,0.012019908909887604,0.9391334232931196,0.9964367873574715,0.6144740915599242,0.384995145232425,0.885068806991458,0.14883123705022325,0.7664533760790445,0.7445564860707571,0.11093877551020408,0.6812623150783473
XGBoost_Residual,Validation,3.5718435474208925,7.054252293958371,0.3012237977660003,1.2090880246336737,0.6214746959712655,0.9709267110841914,0.7154522055560486,0.282143800052803,0.8257905699678091,0.47345756026884533,0.47390154670916795,0.40720426919656094,0.586045810729355,0.25829807240244473
XGBoost_Residual,Test,4.5997693521733165,9.63204765837324,-0.2651343333497056,1.5667215342310776,0.5098792201504605,0.9699013789864663,0.665808558525427,0.330761167084037,0.7759331213940892,0.5311944227075478,0.41290726817042606,0.37167713871435476,0.6175556384433669,0.2322736540058899
LightGBM_Direct,Train,1.1961293646928262,2.22534637837989,0.9360270335043704,0.006498656017053275,0.9691257912011921,0.9951365273054611,0.5860829862140335,0.4130813862968768,0.9072509065529746,0.07901303021901858,0.841734821717648,0.8367800376004102,0.08245877061469266,0.7782546494992847
LightGBM_Direct,Validation,3.434509901242406,6.73664694924617,0.36272966092247294,0.9747730252489787,0.6323994599746656,0.9606803957197658,0.706896020697302,0.28962946054934186,0.8223190052389068,0.47333953187532846,0.4728513356562137,0.40216424547880225,0.5776117079246458,0.2594682478959449
LightGBM_Direct,Test,4.097626410916929,7.643205119600186,0.20338143011960264,0.9878088303613223,0.5252776955217767,0.9869359176877428,0.6542735362297166,0.34415149394828126,0.8157306016719651,0.4960904825981016,0.4524112711006628,0.35572740454325763,0.6619200734956362,0.20968660968660968
